resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 13,alignC,headerSect 91,weekDay href,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
ANT,Internship in Anthropology,ANT491H1-F,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","This course is an opportunity to apply acquired knowledge in anthropology or archeology in a work placement environment. Opportunities may include local community organizations, international development organizations, museum or heritage projects, or media production projects. Only internships that require knowledge and skills in anthropology and/or archeology will be considered. Student must fulfill responsibilities of the internship as well as complete a final research paper. If qualified, the student’s internship supervisor will mark the final paper for the course; if not, an appropriate academic supervisor will be assigned from within the Dept. of Anthropology. Not eligible for CR/NCR option.",Fourth year; major or specialist in a program in Anthropology; 3.0 FCEs in Anthropology,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,Society and its Institutions (3),Breadth Requirement:,,
ANT,Internship in Anthropology,ANT491H1-S,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","This course is an opportunity to apply acquired knowledge in anthropology or archeology in a work placement environment. Opportunities may include local community organizations, international development organizations, museum or heritage projects, or media production projects. Only internships that require knowledge and skills in anthropology and/or archeology will be considered. Student must fulfill responsibilities of the internship as well as complete a final research paper. If qualified, the student’s internship supervisor will mark the final paper for the course; if not, an appropriate academic supervisor will be assigned from within the Dept. of Anthropology. Not eligible for CR/NCR option.",Fourth year; major or specialist in a program in Anthropology; 3.0 FCEs in Anthropology,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,Society and its Institutions (3),Breadth Requirement:,,
ANT,Internship in Anthropology,ANT491Y1-Y,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","This course is an opportunity to apply acquired knowledge in anthropology or archeology in a work placement environment. Opportunities may include local community organizations, international development organizations, museum or heritage projects, or media production projects. Only internships that require knowledge and skills in anthropology and/or archeology will be considered. Student must fulfill responsibilities of the internship as well as complete a final research paper. If qualified, the student’s internship supervisor will mark the final paper for the course; if not, an appropriate academic supervisor will be assigned from within the Dept. of Anthropology. Not eligible for CR/NCR option.",Fourth year; major or specialist in a program in Anthropology; 3.0 FCEs in Anthropology,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,Society and its Institutions (3),Breadth Requirement:,,
CSUS,Independent Studies,AMS494H1-F,Timetable instructions,Note:,"For more information on how to enrol, please send an email to csus@utoronto.ca.",Independent Studies. Not eligible for CR/NCR option.,USA494H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,,—,Room,,,,,
CSUS,Independent Studies,AMS494H1-S,Timetable instructions,Note:,"For more information on how to enrol, please send an email to csus@utoronto.ca.",Independent Studies. Not eligible for CR/NCR option.,USA494H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,,—,Room,,,,,
CSUS,Independent Studies,AMS495Y1-Y,Timetable instructions,Note:,"For more information on how to enrol, please send an email to csus@utoronto.ca.",Independent Studies. Not eligible for CR/NCR option.,USA495Y1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9999,9999,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,,—,,,,,,
ANT,Archaeology Research Practicum,ARH495H1-F,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Laboratory or practical research on an archaeological project that emphasizes methods and research design in archaeology. Students must obtain the consent of a Supervisor before enrolling. Students are required to give an oral presentation of research results to an open meeting of the Archaeology Centre at the conclusion of the course. Application must be made to the Anthropology Department. Not eligible for CR/NCR option.,"A minimum of 14 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,ANT497Y1,Exclusion:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,"ARH305H1, ARH312Y1",Recommended Preparation:,Social Science,Distribution Requirement:
ANT,Archaeology Research Practicum,ARH495H1-S,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by January 4, 2022.",Laboratory or practical research on an archaeological project that emphasizes methods and research design in archaeology. Students must obtain the consent of a Supervisor before enrolling. Students are required to give an oral presentation of research results to an open meeting of the Archaeology Centre at the conclusion of the course. Application must be made to the Anthropology Department. Not eligible for CR/NCR option.,"A minimum of 14 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,ANT497Y1,Exclusion:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,"ARH305H1, ARH312Y1",Recommended Preparation:,Social Science,Distribution Requirement:
ANT,Independent Research,ANT497Y1-F,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Independent Research,ANT497Y1-S,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by January 4, 2022.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Independent Research,ANT497Y1-Y,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9997,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,
ANA,Project in Anatomy,ANA498Y1-Y,Delivery instructions,Note:,Students are expected to give in-person presentations during scheduled tutorials in March/April 2022. Tutorials will run on Wednesdays in March/April 2022 from 11:00am – 1:00pm. Tutorials will not run from September 2021 – February 2022.,"A research project in Histology, Cellular or Molecular Biology, Developmental Biology, Neuroanatomy or Gross Anatomy. Not eligible for CR/NCR option.",Permission of a professor to supervise the project,Prerequisite:,Science,Distribution Requirement:,LEC0101,,—,,,—,—,"Morshead, C.",of  available,9983,9999,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,Activity,—,,,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,Independent Research,ANT498H1-F,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Independent Research,ANT498H1-S,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by January 4, 2022.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Independent Research,ANT498H1-Y,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,
ANT,Independent Research,ANT499H1-F,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Independent Research,ANT499H1-S,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by January 4, 2022.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Independent Research,ANT499H1-Y,Timetable instructions,Note:,"Please contact Josie Alaimo at josie.alaimo@utoronto.ca to obtain an application form. Completed forms must be returned by September 2, 2021.",Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open in exceptional circumstances to advanced students with a strong background in Anthropology. Course Supervisor must be a member of the Anthropology faculty. Application for enrolment should be made to the Department in the preceding term. A maximum of one year of Independent Research courses is allowed per program. Not eligible for CR/NCR option.,"A minimum of 10 credits, permission of Supervisor and Undergraduate Coordinator.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,
